Serial,OPEID,InstitutionName,Address,City,ST,Zip,BwrsWhoEnteredRepayment Status,BwrsInDefault,CohortDefaultRate,TotalBwrsInDefault,TotalPrincipalOutstandingOnLoansInDefault
000932,00152100,Southeastern University,1000 Longfellow Boulevard,Lakeland,FL,33801-6099,81,17,20.99%,142,236183                                                                                                                                          
000924,00152800,St. Petersburg College,6021 142nd Avenue North,Clearwater,FL,33760-3768,0,0,0%,19,26234                                                                                                                                                   
000933,00153100,Stetson University,421 North Woodland Boulevard,DeLand,FL,32723-3761,316,38,12.03%,256,880699                                                                                                                                             
005003,02508900,Talmudic College of Florida,4000 Alton Road,Miami Beach,FL,33140-1507,1,0,0%,0,0                                                                                                                                                          
000889,00395400,University of Central Florida,4000 Central Florida Boulevard,Orlando,FL,32816-0001,249,32,12.85%,400,946087                                                                                                                               
000939,00153500,University of Florida,226 Tigert Hall,Gainesville,FL,32611-3150,1128,87,7.71%,1044,3207389                                                                                                                                                
000940,00153600,University of Miami,1204 Dickinson Drive,Coral Gables,FL,33146-6531,854,77,9.02%,1473,3517176                                                                                                                                             
000942,00153700,University of South Florida,4202 East Fowler Avenue,Tampa,FL,33620-6960,264,39,14.77%,660,1169144                                                                                                                                         
000943,00153800,University of Tampa (The),401 West Kennedy Boulevard,Tampa,FL,33606-1490,150,18,12%,170,209959                                                                                                                                            
000944,00395500,University of West Florida (The),11000 University Parkway,Pensacola,FL,32514-5750,152,18,11.84%,290,671110                                                                                                                                
000946,00884800,Warner University,13895  Highway 27,Lake Wales,FL,33859-8725,22,3,13.64%,26,65826                                                                                                                                                         
000948,00154000,Webber International University,1201 Scenic Highway,Babson Park,FL,33827-0096,29,7,24.14%,45,66417                                                                                                                                        
000949,00154100,Abraham Baldwin Agricultural College,2802 Moore Highway,Tifton,GA,31793-2601,0,0,0%,246,291570                                                                                                                                            
000953,00154400,Albany State University,504 College Drive,Albany,GA,31705-2796,32,9,28.13%,162,111081                                                                                                                                                     
000957,00154600,Armstrong Atlantic State University,11935 Abercorn Street,Savannah,GA,31419-1997,0,0,0%,9,3382                                                                                                                                            
001019,00927000,Art Institute of Atlanta (The),6600 Peachtree Dunwoody Road,Atlanta,GA,30328-1649,154,69,44.81%,1407,1422305                                                                                                                              
000967,00155200,Augusta State University,2500 Walton Way,Augusta,GA,30904-2200,41,8,19.51%,139,163434                                                                                                                                                     
000971,00155400,Berry College,2277 Martha Berry Highway NW,Mount Berry,GA,30149-5007,81,2,2.47%,22,70027                                                                                                                                                  
000975,00155600,Brenau University,500 Washington Street  SE,Gainesville,GA,30501-3668,83,11,13.25%,84,171359                                                                                                                                              
000976,00155700,Brewton Parker College,201 David Eliza Fountain Circle,Mount Vernon,GA,30445-0000,37,18,48.65%,148,296047                                                                                                                                 
006093,02060900,Brown College of Court Reporting,1900 Emery Street Northwest,Atlanta,GA,30318-2570,54,7,12.96%,67,78047                                                                                                                                   
007941,00155900,Clark Atlanta University,223 James P. Brawley Drive SW,Atlanta,GA,30314-4385,205,62,30.24%,811,1999958                                                                                                                                    
000982,00897600,Clayton State University,2000 Clayton State Boulevard,Morrow,GA,30260-0285,0,0,0%,2,1770                                                                                                                                                  
000984,00156100,Columbus State University,4225 University Avenue,Columbus,GA,31907-5645,99,20,20.2%,140,191898                                                                                                                                            
000987,00348400,Covenant College,14049 Scenic Highway,Lookout Mountain,GA,30750-4164,96,9,9.38%,87,179669                                                                                                                                                 
000997,00156400,Emory University,200 Dowman Drive Suite 300,Atlanta,GA,30322-1960,245,19,7.76%,134,662171                                                                                                                                                 
000999,00156600,Fort Valley State University,1005 State University Drive,Fort Valley,GA,31030-3298,83,30,36.14%,601,822546                                                                                                                                
001001,00160200,Georgia College & State University,231 West Hancock Street,Milledgeville,GA,31061-0490,101,11,10.89%,49,127498                                                                                                                            
001002,00156900,Georgia Institute of Technology,225 North Avenue Northwest,Atlanta,GA,30332-0325,184,6,3.26%,106,371982                                                                                                                                   
001020,00157900,Georgia Regents University,1120 Fifteenth Street,Augusta,GA,30912-0004,215,5,2.33%,20,39306                                                                                                                                               
001004,00157200,Georgia Southern University,Rosenwald Bldg  Sweetheart Circle,Statesboro,GA,30460-8065,229,60,26.2%,285,454228                                                                                                                            
001005,00157300,Georgia Southwestern State University,800 GSW University Drive,Americus,GA,31709-4693,32,5,15.63%,82,169921                                                                                                                               
001006,00157400,Georgia State University,30 Courtland Street,Atlanta,GA,30303-3010,232,39,16.81%,807,1552409                                                                                                                                              
006607,02284300,Interactive College of Technology,5303 New Peachtree Road,Chamblee,GA,30341-2818,0,0,0%,54,54338                                                                                                                                          
001012,00156800,Interdenominational Theological Center,700 Martin Luther King Jr Drive SW,Atlanta,GA,30314-4143,7,1,14.29%,43,64229                                                                                                                       
001013,00157700,Kennesaw State University,1000 Chastain Road,Kennesaw,GA,30144-5591,45,22,48.89%,138,209887                                                                                                                                               
001014,00157800,LaGrange College,601 Broad Street,LaGrange,GA,30240-2999,48,8,16.67%,62,134935                                                                                                                                                            
005611,02074800,Life University,1269 Barclay Circle,Marietta,GA,30060-2996,251,38,15.14%,417,1554841                                                                                                                                                      
001022,00158000,Mercer University,1400 Coleman Avenue,Macon,GA,31207-0001,244,23,9.43%,166,584406                                                                                                                                                         
001024,00158200,Morehouse College,830 Westview Drive SW,Atlanta,GA,30314-3773,53,15,28.3%,1264,1763804                                                                                                                                                    
006094,02482100,Morehouse School of Medicine,720 Westview Drive Southwest,Atlanta,GA,30310-1495,60,4,6.67%,57,439822                                                                                                                                      
001030,00158600,Oglethorpe University,4484 Peachtree Road  Northeast,Atlanta,GA,30319-2737,47,8,17.02%,81,159156                                                                                                                                          
001031,00158700,Paine College,1235 Fifteenth Street,Augusta,GA,30901-3182,35,7,20%,234,11285620                                                                                                                                                           
001039,00159000,Savannah State University,3219 College Street,Savannah,GA,31404-5298,45,24,53.33%,352,437406                                                                                                                                              
001041,00159100,Shorter University,315 Shorter Avenue,Rome,GA,30165-4298,15,5,33.33%,138,265529                                                                                                                                                           
004731,01303900,South University,709 Mall Boulevard,Savannah,GA,31406-4881,38,0,0%,368,467051                                                                                                                                                             
005798,00157000,Southern Polytechnic State University,1100 South Marietta Parkway,Marietta,GA,30060-2896,3,1,33.33%,41,71334                                                                                                                              
001044,00159400,Spelman College,350 Spelman Lane Southwest,Atlanta,GA,30314-4399,97,3,3.09%,207,426499                                                                                                                                                    
001049,00159600,Toccoa Falls College,107 Kincaid Drive,Toccoa Falls,GA,30598-0001,8,1,12.5%,32,44904                                                                                                                                                      
001051,00159800,University of Georgia,Administration Building,Athens,GA,30602-1661,400,33,8.25%,149,379434                                                                                                                                                
001028,00158500,University of North Georgia,82 College Circle,Dahlonega,GA,30597-0001,44,4,9.09%,65,148612                                                                                                                                                
001059,00160100,University of West Georgia,1601 Maple Street,Carrollton,GA,30118-0002,115,20,17.39%,500,519042                                                                                                                                            
001058,00160000,Wesleyan College,4760 Forsyth Road,Macon,GA,31210-4462,54,11,20.37%,56,132288                                                                                                                                                             
001063,00160500,Chaminade University of Honolulu,3140 Waialae Avenue,Honolulu,HI,96816-1578,89,33,37.08%,184,422929                                                                                                                                       
001067,00727900,Hawaii Pacific University,1164 Bishop Street,Honolulu,HI,96813-2882,175,22,12.57%,162,318714                                                                                                                                              
001071,00161200,Honolulu Community College,874 Dillingham Boulevard,Honolulu,HI,96817-4598,46,17,36.96%,192,272533                                                                                                                                        
001073,00161300,Kapiolani Community College,4303 Diamond Head Road,Honolulu,HI,96816-4421,61,15,24.59%,68,110394                                                                                                                                          
001074,00161400,Kauai Community College,3-1901 Kaumualii Highway,Lihue,HI,96766-9591,0,0,0%,1,1267                                                                                                                                                        
001075,00454900,Leeward Community College,96-045 Ala Ike,Pearl City,HI,96782-3393,19,6,31.58%,38,42761                                                                                                                                                    
001076,00161500,University of Hawaii Maui College,310 West Kaahumanu Avenue,Kahului,HI,96732-1644,56,18,32.14%,74,133210                                                                                                                                  
001068,00161100,University of Hawaii at Hilo,200 West Kawili Street,Hilo,HI,96720-4091,75,8,10.67%,214,551295                                                                                                                                             
001078,00161000,University of Hawaii at Manoa,2444 Dole Street,Honolulu,HI,96822-2399,492,55,11.18%,478,1653507                                                                                                                                           
001080,01122000,Windward Community College,45-720 Keaahala Road,Kaneohe,HI,96744-3528,17,5,29.41%,17,26462                                                                                                                                                
001081,00161600,Boise State University,1910 University Drive,Boise,ID,83725-1000,514,133,25.88%,1029,2023848                                                                                                                                              
001082,00161700,College of Idaho (The),2112 Cleveland Boulevard,Caldwell,ID,83605-4432,74,7,9.46%,61,184374                                                                                                                                               
001086,00162000,Idaho State University,919 South 8th Street,Pocatello,ID,83209-5377,132,19,14.39%,327,445588                                                                                                                                              
001087,00162100,Lewis-Clark State College,500 8th Avenue,Lewiston,ID,83501-2698,41,0,0%,19,33013                                                                                                                                                          
001089,00162300,North Idaho College,1000 West Garden Avenue,Coeur d'Alene,ID,83814-2199,81,1,1.23%,7,64669                                                                                                                                                
001090,00162400,Northwest Nazarene University,623 South University Boulevard,Nampa,ID,83686-5897,79,8,10.13%,71,290830                                                                                                                                    
001093,00162600,University of Idaho,709 Deakin Avenue,Moscow,ID,83844-4291,694,95,13.69%,628,1256215                                                                                                                                                      
001102,00163300,Augustana College,639 38th Street,Rock Island,IL,61201-2296,220,23,10.45%,126,298318                                                                                                                                                      
001103,00163400,Aurora University,347 South Gladstone Avenue,Aurora,IL,60506-4892,36,1,2.78%,145,231303                                                                                                                                                   
001167,00176700,Benedictine University,5700 College Road,Lisle,IL,60532-0900,114,13,11.4%,188,355810                                                                                                                                                      
001109,00163900,Blackburn University,700 College Avenue,Carlinville,IL,62626-1498,0,0,0%,22,73555                                                                                                                                                         
001110,00164100,Bradley University,1501 West Bradley Avenue,Peoria,IL,61625-0002,217,10,4.61%,90,198346                                                                                                                                                   
001121,00169400,Chicago State University,9501 South  King Drive,Chicago,IL,60628-1598,87,15,17.24%,705,875937                                                                                                                                             
001123,00164700,City Colleges of Chicago System Office,226 West Jackson Boulevard,Chicago,IL,60606-6998,39,3,7.69%,1169,387296                                                                                                                            
001132,00166600,Concordia University,7400 Augusta,River Forest,IL,60305-1499,72,17,23.61%,182,242627                                                                                                                                                      
001141,00167100,DePaul University,1 East Jackson Boulevard,Chicago,IL,60604-2287,199,18,9.05%,297,1230111                                                                                                                                                 
001142,01072700,DeVry University,3300 North Campbell,Chicago,IL,60618-5994,9762,1799,18.43%,19552,30566817                                                                                                                                                
001270,00175000,Dominican University,7900 West Division Street,River Forest,IL,60305-1066,117,31,26.5%,133,314382                                                                                                                                         
001143,00167400,Eastern Illinois University,600 Lincoln Avenue,Charleston,IL,61920-3099,347,54,15.56%,675,1372666                                                                                                                                         
001146,00167600,Elmhurst College,190 Prospect Street,Elmhurst,IL,60126-3296,133,16,12.03%,115,218585                                                                                                                                                      
001147,00167800,Eureka College,300 East College Avenue,Eureka,IL,61530-9976,113,17,15.04%,19,22031                                                                                                                                                        
002065,01185800,Everest College,9811 Woods Drive  Suite 200,Skokie,IL,60077-1074,51,26,50.98%,370,337318                                                                                                                                                  
007216,02522800,Fox College,6640 S. Cicero,Bedford Park,IL,60638-1999,45,6,13.33%,25,55957                                                                                                                                                                
001153,00168200,Garrett - Evangelical Theological Seminary,2121 Sheridan Road,Evanston,IL,60201-2926,48,18,37.5%,76,222541                                                                                                                                
001156,00914500,Governors State University,1 University Parkway,University Park,IL,60466-0975,139,28,20.14%,317,716095                                                                                                                                    
001159,00168400,Greenville College,315 East College Avenue,Greenville,IL,62246-1199,175,22,12.57%,172,323423                                                                                                                                              
001169,00168800,Illinois College,1101 West College Avenue,Jacksonville,IL,62650-2299,124,16,12.9%,148,219306                                                                                                                                              
001170,00168900,Illinois College of Optometry,3241 South Michigan Avenue,Chicago,IL,60616-3878,62,0,0%,0,0                                                                                                                                                
006763,00174200,Illinois Eastern Community Colleges - Olney Central College,305 North West Street,Olney,IL,62450-1099,40,7,17.5%,0,0                                                                                                                      
001173,00169100,Illinois Institute of Technology,3300 South Federal,Chicago,IL,60661-3793,394,14,3.55%,255,667018                                                                                                                                         
001175,00169200,Illinois State University,302 Hovey Hall,Normal,IL,61790-1000,352,9,2.56%,715,1387877                                                                                                                                                     
001177,00169600,Illinois Wesleyan University,1312 North Park Street,Bloomington,IL,61702-2900,125,12,9.6%,233,538410                                                                                                                                      
001188,00170000,Judson University,1151 North State Street,Elgin,IL,60123-1498,66,8,12.12%,80,120823                                                                                                                                                       
001190,00170100,Kaskaskia College,27210 College Road,Centralia,IL,62801-7878,359,62,17.27%,0,0                                                                                                                                                            
001192,00170300,Kendall College,900 N. North Branch Street,Chicago,IL,60622-4278,48,14,29.17%,246,326959                                                                                                                                                  
001195,00170400,Knox College,2 East South Street,Galesburg,IL,61401-4999,139,11,7.91%,48,152947                                                                                                                                                           
001196,00170600,Lake Forest College,555 North Sheridan Road,Lake Forest,IL,60045-2399,85,13,15.29%,157,375731                                                                                                                                             
001202,00170700,Lewis University,One University Parkway,Romeoville,IL,60446-2200,37,5,13.51%,40,97267                                                                                                                                                     
001203,00170800,Lincoln Christian University,100 Campus View Drive,Lincoln,IL,62656-2167,104,31,29.81%,88,189029                                                                                                                                          
001204,00170900,Lincoln College,300 Keokuk Street,Lincoln,IL,62656-1699,18,2,11.11%,23,29308                                                                                                                                                              
001208,00171000,Loyola University Chicago,820 North Michigan Avenue,Chicago,IL,60611-2196,850,70,8.24%,605,1377797                                                                                                                                        
001211,00171700,MacMurray College,447 East College Avenue,Jacksonville,IL,62650-2590,94,29,30.85%,410,868307                                                                                                                                              
001216,00172200,McKendree University,701 College Road,Lebanon,IL,62254-1299,52,8,15.38%,42,63927                                                                                                                                                          
001118,00165700,Midwestern University,555 31st Street,Downers Grove,IL,60515-1200,62,0,0%,3,4180                                                                                                                                                          
001221,00172400,Millikin University,1184 West Main Street,Decatur,IL,62522-2084,147,24,16.33%,218,557433                                                                                                                                                  
001225,00172500,Monmouth College,700 East Broadway,Monmouth,IL,61462-1963,222,37,16.67%,560,740584                                                                                                                                                        
001238,00173300,National Louis University,122 South Michigan Avenue,Chicago,IL,60603-3032,64,11,17.19%,293,615949                                                                                                                                         
001236,00173200,National University of Health Sciences (The),200 East Roosevelt Road,Lombard,IL,60148-4583,113,5,4.42%,57,150131                                                                                                                          
001240,00173400,North Central College,30 North Brainard Street,Naperville,IL,60540-4690,100,6,6%,107,163248                                                                                                                                               
001244,00173500,North Park University,3225 West Foster Avenue,Chicago,IL,60625-4895,168,20,11.9%,351,484222                                                                                                                                               
001241,00169300,Northeastern Illinois University,5500 North Saint Louis Avenue,Chicago,IL,60625-4699,101,7,6.93%,195,466896                                                                                                                               
001243,00173700,Northern Illinois University,Altgeld Hall - Room 300A,DeKalb,IL,60115-2854,513,63,12.28%,300,643849                                                                                                                                       
001246,00173900,Northwestern University,633 Clark Street,Evanston,IL,60208-0001,920,14,1.52%,354,10147708                                                                                                                                                 
001250,00174100,Olivet Nazarene University,One University Avenue,Bourbonnais,IL,60914-2271,257,26,10.12%,172,308324                                                                                                                                       
001253,00711800,Parkland College,2400 West Bradley Avenue,Champaign,IL,61821-1899,1,0,0%,67,97168                                                                                                                                                         
001258,00174500,Quincy University,1800 College Avenue,Quincy,IL,62301-2699,71,12,16.9%,180,368863                                                                                                                                                         
001263,00174600,Robert Morris University Illinois,401 South State Street,Chicago,IL,60605-1225,227,13,5.73%,1148,1954884                                                                                                                                  
001268,00174800,Rockford University,5050 East State Street,Rockford,IL,61108-2393,61,13,21.31%,226,467647                                                                                                                                                 
001120,00165900,Rosalind Franklin University of Medicine and Science,3333 Green Bay Road,North Chicago,IL,60064-3095,193,9,4.66%,71,374386                                                                                                                
001271,00980000,Rush University,600 South Paulina Street,Chicago,IL,60612-3806,198,7,3.54%,35,190341                                                                                                                                                      
001273,00176800,Saint Xavier University,3700 West 103rd Street,Chicago,IL,60655-3199,122,23,18.85%,315,649924                                                                                                                                             
001279,00175300,School of the Art Institute of Chicago,37 South Wabash Avenue,Chicago,IL,60603-3013,193,23,11.92%,444,988068                                                                                                                              
001283,00175600,Shimer College,3424 South State Street,Chicago,IL,60616-3893,23,3,13.04%,89,272464                                                                                                                                                        
001286,00175900,Southern Illinois University Edwardsville,2308 Rendleman Hall,Edwardsville,IL,62026-1060,37,0,0%,62,96236                                                                                                                                 
001285,00175800,Southern Illinois University at Carbondale,Lincoln Drive,Carbondale,IL,62901-0000,713,45,6.31%,1165,2493542                                                                                                                               
001299,00177100,Trinity Christian College,6601 West College Drive,Palos Heights,IL,60463-0929,54,4,7.41%,77,138936                                                                                                                                        
001300,00177200,Trinity International University,2065 Half Day Road,Deerfield,IL,60015-1283,165,13,7.88%,181,313625                                                                                                                                       
001302,00177300,Triton College,2000 North 5th Avenue,River Grove,IL,60171-1995,0,0,0%,4,4857                                                                                                                                                              
001305,00177400,University of Chicago (The),5801 South Ellis Avenue,Chicago,IL,60637-1476,949,26,2.74%,415,1837778                                                                                                                                        
001307,00177600,University of Illinois at Chicago,809 S Marshfield Ave # 520,Chicago,IL,60612-4305,1034,33,3.19%,1021,2477720                                                                                                                             
001274,00933300,University of Illinois at Springfield,One University Plaza,Springfield,IL,62703-5407,26,3,11.54%,13,33744                                                                                                                                 
001306,00177500,University of Illinois at Urbana-Champaign,601 East John Street,Champaign,IL,61820-5796,690,20,2.9%,803,1408734                                                                                                                           
001129,00166400,University of Saint Francis,500 Wilcox Street,Joliet,IL,60435-6188,70,13,18.57%,103,227588                                                                                                                                                
001313,00178000,Western Illinois University,1 University Circle,Macomb,IL,61455-1390,50,6,12%,223,420050                                                                                                                                                  
008606,03079200,Westwood College - DuPage,7155 Janes Avenue,Woodridge,IL,60517-2321,2,2,100%,11,11322                                                                                                                                                     
007285,02313900,Westwood College - O'Hare Airport,8501 West Higgins Road,Chicago,IL,60631-2801,0,0,0%,8,15585                                                                                                                                             
001314,00178100,Wheaton College,501 College Avenue,Wheaton,IL,60187-5535,183,2,1.09%,49,106169                                                                                                                                                            
001321,00178500,Anderson University,1100 East 5th Street,Anderson,IN,46012-3495,119,19,15.97%,304,783371                                                                                                                                                  
001322,00178600,Ball State University,2000 University Avenue,Muncie,IN,47306-0880,554,62,11.19%,971,2172471                                                                                                                                               
004741,00163700,Bethany Theological Seminary,615 National Road West,Richmond,IN,47374-4019,7,0,0%,2,2500                                                                                                                                                  
001323,00178700,Bethel College,1001 Bethel Circle,Mishawaka,IN,46545-5591,65,5,7.69%,78,74258                                                                                                                                                             
001324,00178800,Butler University,4600 Sunset Avenue,Indianapolis,IN,46208-3487,292,24,8.22%,109,274380                                                                                                                                                   
001329,00179200,DePauw University,313 South Locust Street,Greencastle,IN,46135-0037,205,15,7.32%,122,305859                                                                                                                                               
001331,00179300,Earlham College,801 National Road West,Richmond,IN,47374-4095,137,17,12.41%,89,312277                                                                                                                                                     
001336,00179800,Franklin College of Indiana,101 Branigin Boulevard,Franklin,IN,46131-2623,109,18,16.51%,200,482440                                                                                                                                        
001337,00179900,Goshen College,1700 South Main Street,Goshen,IN,46526-4794,50,2,4%,32,96535                                                                                                                                                               
001338,00180000,Grace College and Theological Seminary,200 Seminary Drive,Winona Lake,IN,46590-1224,169,10,5.92%,98,276404                                                                                                                                
001342,00726300,Holy Cross College,54515 SR 933 North,Notre Dame,IN,46556-0308,31,13,41.94%,43,48969                                                                                                                                                      
001343,00180300,Huntington University,2303 College Avenue,Huntington,IN,46750-1299,80,7,8.75%,91,164078                                                                                                                                                   
001346,00180500,Indiana Institute of Technology,1600 East Washington Boulevard,Fort Wayne,IN,46803-1297,81,19,23.46%,196,343940                                                                                                                           
001348,00180700,Indiana State University,Office of the President,Terre Haute,IN,47809-2501,421,56,13.3%,1002,2027008                                                                                                                                      
001354,00180900,Indiana University - Bloomington,107 South Indiana Avenue,Bloomington,IN,47405-7000,1421,29,2.04%,565,1728386                                                                                                                             
001351,00181100,Indiana University - East,2325 Chester Boulevard,Richmond,IN,47374-1289,52,9,17.31%,29,35254                                                                                                                                              
001350,00181400,Indiana University - Kokomo,2300 South Washington Street,Kokomo,IN,46902-3557,39,9,23.08%,59,59982                                                                                                                                        
001349,00181500,Indiana University - Northwest,3400 Broadway,Gary,IN,46408-1197,49,2,4.08%,87,147402                                                                                                                                                      
001379,00182800,Indiana University - Purdue University - Ft Wayne,2101 East Coliseum Boulevard,Fort Wayne,IN,46805-1499,112,10,8.93%,176,370427                                                                                                           
001352,00181300,Indiana University - Purdue University Indianapolis,355 Lansing Street,Indianapolis,IN,46202-5145,527,47,8.92%,637,827993                                                                                                                 
001353,00181600,Indiana University - South Bend,1700 Mishawaka Avenue,South Bend,IN,46634-7111,155,21,13.55%,222,288904                                                                                                                                   
001355,00181700,Indiana University Southeast,4201 Grant Line Road,New Albany,IN,47150-6405,165,23,13.94%,206,316872                                                                                                                                       
001368,00182200,Indiana Wesleyan University,4201 South Washington Street,Marion,IN,46953-4974,91,11,12.09%,159,319584                                                                                                                                     
001358,00457900,International Business College,5699 Coventry Lane,Fort Wayne,IN,46804-1298,91,12,13.19%,99,245357                                                                                                                                         
006335,02201800,Kaplan College,7833 Indianapolis Boulevard,Hammond,IN,46324-3347,50,16,32%,289,279082                                                                                                                                                     
001366,00182000,Manchester University,604 East College Avenue,North Manchester,IN,46962-1276,81,10,12.35%,163,412847                                                                                                                                      
001367,00182100,Marian University,3200 Cold Spring Road,Indianapolis,IN,46222-1997,60,17,28.33%,156,310082                                                                                                                                                
001580,01048900,National College,6060 Castleway Drive West,Indianapolis,IN,46250-1930,39,4,10.26%,96,190988                                                                                                                                               
001374,00182400,Oakland City University,138 N. Lucretia Street,Oakland City,IN,47660-1099,39,7,17.95%,41,99985                                                                                                                                            
001380,00182500,Purdue University,610 Purdue Mall,West Lafayette,IN,47907-2040,1182,59,4.99%,399,1015567                                                                                                                                                  
001378,00182700,Purdue University - Calumet,2200 169th Street,Hammond,IN,46323-2094,57,14,24.56%,58,151163                                                                                                                                                
001381,00182600,Purdue University - North Central,1401 South US Highway 421,Westville,IN,46391-9542,59,8,13.56%,19,20408                                                                                                                                  
001383,00183000,Rose - Hulman Institute of Technology,5500 Wabash Avenue,Terre Haute,IN,47803-3999,168,5,2.98%,42,159259                                                                                                                                  
001386,00183300,Saint Joseph's College,1498 South College Avenue,Rensselaer,IN,47978-0000,66,15,22.73%,88,167820                                                                                                                                          
001387,00183500,Saint Mary of the Woods College,Saint Mary of the Woods Road,Saint Mary of the Woods,IN,47876-0067,87,32,36.78%,106,136908                                                                                                                
001388,00183600,Saint Mary's College,133 LeMans Hall,Notre Dame,IN,46556-5007,101,8,7.92%,155,361622                                                                                                                                                      
001393,00183800,Taylor University,236 West Reade Avenue,Upland,IN,46989-1001,183,15,8.2%,219,357825                                                                                                                                                       
001395,00183900,Trine University,1 University Avenue,Angola,IN,46703-1764,0,0,0%,31,75229                                                                                                                                                                 
001396,00179500,University of Evansville,1800 Lincoln Avenue,Evansville,IN,47722-0002,179,9,5.03%,81,290432                                                                                                                                               
001344,00180400,University of Indianapolis,1400 East Hanna Avenue,Indianapolis,IN,46227-3697,350,35,10%,425,614475                                                                                                                                        
