Serial,OPEID,InstitutionName,Address,City,ST,Zip,BwrsWhoEnteredRepayment Status,BwrsInDefault,CohortDefaultRate,TotalBwrsInDefault,TotalPrincipalOutstandingOnLoansInDefault
000676,00859600,West Los Angeles College,9000 Overland Avenue,Culver City,CA,90230-3500,29,10,34.48%,107,157249
005596,02482700,Western University of Health Sciences,College Plaza,Pomona,CA,91766-1854,106,1,.94%,41,175566
000683,00134100,Westmont College,955 La Paz Road,Santa Barbara,CA,93108-1099,68,7,10.29%,63,182044
008556,03072700,Westwood College - Los Angeles,3250 Wilshire Boulevard,Los Angeles,CA,90010-1577,8,0,0%,20,27777
000544,01162600,Westwood College - South Bay,19700 South Vermont Avenue,Torrance,CA,90502-1148,3,1,33.33%,85,135571
000684,00134200,Whittier College,13406 East Philadelphia Street,Whittier,CA,90608-4413,172,15,8.72%,169,469552
005922,00134300,Woodbury University,7500 North Glenoaks Boulevard,Burbank,CA,91504-1052,46,15,32.61%,98,406698
000688,00884600,Wright Institute (The),2728 Durant Avenue,Berkeley,CA,94704-1796,71,3,4.23%,35,157502
000598,00719000,WyoTech,200 Whitney Place,Fremont,CA,94539-7663,4,0,0%,0,0
000693,00134500,Adams State University,208 Edgemont Boulevard,Alamosa,CO,81102-2373,53,4,7.55%,184,319640
005293,02078900,Art Institute of Colorado (The),1200 Lincoln Street,Denver,CO,80203-2172,102,43,42.16%,522,714539
000738,00940100,Colorado Christian University,8787 W. Alameda Avenue,Lakewood,CO,80226-7449,61,6,9.84%,59,82565
000704,00134700,Colorado College,14 East Cache La Poudre,Colorado Springs,CO,80903-3294,85,1,1.18%,19,92040
000722,00135800,Colorado Mesa University,1100 North Avenue,Grand Junction,CO,81501-3122,48,14,29.17%,313,437565
000736,00135900,Colorado Northwestern Community College,500 Kennedy Drive,Rangely,CO,81648-3598,35,10,28.57%,122,286124
000707,00134800,Colorado School of Mines,1500 Illinois Street,Golden,CO,80401-1887,95,5,5.26%,73,355677
000708,00135000,Colorado State University,102 Administration Building,Fort Collins,CO,80523-0100,802,131,16.33%,1154,3289660
000743,00136500,Colorado State University-Pueblo,2200 Bonforte Boulevard,Pueblo,CO,81001-4901,89,51,57.3%,818,2050863
000705,01014800,Colorado Technical University,4435 North Chestnut Street,Colorado Springs,CO,80907-3896,45,7,15.56%,216,367024
004994,00887100,Concorde Career College,111 Havana Street,Aurora,CO,80010-4314,58,18,31.03%,105,158791
000715,00135300,Fort Lewis College,1000 Rim Drive,Durango,CO,81301-3999,120,16,13.33%,294,509019
006436,02267500,Glenwood Beauty Academy,51241 Highway 6 & 24  Suite 1,Glenwood Springs,CO,81601-2577,0,0,0%,7,8382
000716,00135400,Iliff School of Theology,2201 South University Boulevard,Denver,CO,80210-4798,62,8,12.9%,42,312684
006699,02253700,IntelliTec College,2315 East Pikes Peak Avenue,Colorado Springs,CO,80909-6096,62,8,12.9%,186,442895
008169,03066900,IntelliTec College,772 Horizon Drive,Grand Junction,CO,81506-3994,26,3,11.54%,109,134253
000734,00863500,IntelliTec Medical Institute,6805 Corporate Drive  Suite 100,Colorado Springs,CO,80919-1570,0,0,0%,37,37762
000717,00135500,Lamar Community College,2401 South Main,Lamar,CO,81052-3999,0,0,0%,35,20719
000711,00754700,Lincoln College of Technology,11194 East 45th Street,Denver,CO,80239-3006,80,52,65%,742,950883
000723,00136000,Metropolitan State University of Denver,890 Auraria Parkway,Denver,CO,80204-3362,454,60,13.22%,1170,3374356
005390,02117500,Naropa University,2130 Arapahoe Avenue,Boulder,CO,80302-6697,55,15,27.27%,151,267912
004990,01300700,Nazarene Bible College,1111 Academy Park Loop,Colorado Springs,CO,80910-3704,10,1,10%,7,36705
008025,03014900,Platt College,3100 South Parker Road Suite 200,Aurora,CO,80014-3141,9,2,22.22%,24,72400
000703,00729700,Redstone College,10851 West 120th Avenue,Broomfield,CO,80020-9988,16,1,6.25%,483,803567
000737,00136300,Regis University,3333 Regis Boulevard,Denver,CO,80221-1099,112,13,11.61%,72,225755
000745,00136800,Trinidad State Junior College,600 Prospect Street,Trinidad,CO,81082-2396,0,0,0%,9,5190
000748,00137000,University of Colorado Boulder,Regent Adminstrative Center 175,Boulder,CO,80309-0077,305,19,6.23%,883,2820257
000747,00450800,University of Colorado Denver,1380 Lawrence Street,Denver,CO,80204-2029,348,53,15.23%,245,676510
000749,00450900,University of Colorado at Colorado Springs,1420 Austin Bluffs Parkway,Colorado Springs,CO,80918-3735,98,19,19.39%,346,1183514
000751,00137100,University of Denver,University Park Campus,Denver,CO,80208-2000,674,44,6.53%,216,934880
000752,00134900,University of Northern Colorado,501 20th Street,Greeley,CO,80639-0001,318,59,18.55%,658,1369027
